"AccusedMasterID","CaseMasterID","AccusedName","AgeYear","GenderID","PersonID"
"1","2","Kiran R A132","24","1","A1"
"2","3","Rizwan Khan A135","43","1","A1"
"3","3","Suresh Babu 0004","49","1","A2"
"4","4","Rizwan Khan 0004","40","1","A1"
"5","5","Vijay Patil 0005","34","1","A1"
"6","6","Kiran R 0006","41","1","A1"
"7","7","Kiran R A38","46","1","A1"
"8","7","Imran Pasha 0008","45","1","A2"
"9","7","Naveen H 0009","47","1","A3"
"10","8","Rizwan Khan 0008","26","1","A1"
"11","9","Ravi Kumar 0009","44","1","A1"
"12","11","Naveen H A4","39","1","A1"
"13","11","Vijay Patil 0012","55","1","A2"
"14","11","Prakash Gowda 0013","39","1","A3"
"15","13","Naveen H A64","33","1","A1"
"16","13","Ravi Kumar 0014","37","1","A2"
"17","14","Vijay Patil A157","42","1","A1"
"18","15","Arjun Nayak A24","50","1","A1"
"19","15","Prakash Gowda 0016","51","1","A2"
"20","17","Kiran R 0017","29","2","A1"
"21","19","Manjunath S A130","28","1","A1"
"22","19","Prakash Gowda 0020","24","1","A2"
"23","19","Ravi Kumar 0021","32","1","A3"
"24","21","Kiran R 0021","28","1","A1"
"25","22","Naveen H A146","34","1","A1"
"26","22","Vijay Patil 0023","48","1","A2"
"27","23","Suresh Babu A104","21","1","A1"
"28","23","Manjunath S 0024","22","1","A2"
"29","23","Prakash Gowda 0025","36","1","A3"
"30","24","Manjunath S A3","33","1","A1"
"31","25","Vijay Patil 0025","21","1","A1"
"32","26","Arjun Nayak A45","50","1","A1"
"33","26","Manjunath S 0027","24","1","A2"
"34","27","Kiran R 0027","41","1","A1"
"35","28","Rizwan Khan 0028","56","1","A1"
"36","30","Manjunath S A139","43","1","A1"
"37","31","Imran Pasha 0031","43","1","A1"
"38","32","Prakash Gowda 0032","54","1","A1"
"39","33","Vijay Patil A140","33","1","A1"
"40","34","Vijay Patil A165","35","1","A1"
"41","34","Kiran R 0035","56","1","A2"
"42","34","Ravi Kumar 0036","52","1","A3"
"43","35","Ravi Kumar A176","51","1","A1"
"44","35","Imran Pasha 0036","34","1","A2"
"45","36","Kiran R 0036","45","1","A1"
"46","41","Imran Pasha 0041","42","1","A1"
"47","42","Rizwan Khan 0042","31","1","A1"
"48","43","Kiran R A125","56","1","A1"
"49","43","Prakash Gowda 0044","35","1","A2"
"50","43","Vijay Patil 0045","33","1","A3"
"51","44","Ravi Kumar 0044","20","1","A1"
"52","45","Naveen H A9","20","1","A1"
"53","45","Arjun Nayak 0046","36","1","A2"
"54","45","Kiran R 0047","34","1","A3"
"55","48","Naveen H A163","34","1","A1"
"56","48","Kiran R 0049","19","2","A2"
"57","48","Vijay Patil 0050","54","1","A3"
"58","49","Kiran R 0049","56","1","A1"
"59","52","Ravi Kumar A28","28","2","A1"
"60","52","Suresh Babu 0053","43","1","A2"
"61","53","Rizwan Khan 0053","36","1","A1"
"62","54","Naveen H A105","51","1","A1"
"63","54","Rizwan Khan 0055","34","1","A2"
"64","54","Kiran R 0056","44","1","A3"
"65","55","Vijay Patil 0055","55","1","A1"
"66","56","Suresh Babu A27","28","1","A1"
"67","56","Vijay Patil 0057","35","1","A2"
"68","57","Rizwan Khan A101","55","2","A1"
"69","57","Rizwan Khan 0058","29","1","A2"
"70","57","Ravi Kumar 0059","33","1","A3"
"71","58","Suresh Babu A1","30","1","A1"
"72","59","Imran Pasha A6","55","1","A1"
"73","59","Prakash Gowda 0060","26","1","A2"
"74","59","Prakash Gowda 0061","37","1","A3"
"75","60","Prakash Gowda 0060","24","1","A1"
"76","62","Ravi Kumar 0062","24","1","A1"
"77","64","Imran Pasha 0064","51","1","A1"
"78","65","Naveen H A70","28","1","A1"
"79","65","Ravi Kumar 0066","27","1","A2"
"80","66","Arjun Nayak 0066","25","1","A1"
"81","67","Ravi Kumar 0067","38","1","A1"
"82","69","Imran Pasha A79","22","1","A1"
"83","69","Imran Pasha 0070","32","1","A2"
"84","69","Ravi Kumar 0071","19","1","A3"
"85","70","Naveen H A44","48","1","A1"
"86","73","Rizwan Khan 0073","55","1","A1"
"87","74","Naveen H A37","20","1","A1"
"88","75","Imran Pasha 0075","32","1","A1"
"89","76","Ravi Kumar 0076","30","1","A1"
"90","77","Manjunath S 0077","53","1","A1"
"91","78","Ravi Kumar 0078","43","1","A1"
"92","83","Rizwan Khan A97","34","1","A1"
"93","86","Arjun Nayak A162","29","1","A1"
"94","90","Kiran R 0090","34","1","A1"
"95","91","Kiran R 0091","50","1","A1"
"96","93","Arjun Nayak 0093","25","1","A1"
"97","95","Vijay Patil 0095","51","1","A1"
"98","96","Kiran R A91","45","1","A1"
"99","96","Ravi Kumar 0097","31","2","A2"
"100","99","Rizwan Khan 0099","49","1","A1"
"101","100","Naveen H 0100","56","1","A1"
"102","101","Ravi Kumar A169","53","1","A1"
"103","101","Imran Pasha 0102","50","1","A2"
"104","101","Suresh Babu 0103","47","1","A3"
"105","102","Kiran R 0102","46","1","A1"
"106","104","Rizwan Khan A40","31","1","A1"
